date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
1995-01-01,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
1995-02-01,0,0,0,0,0,0,-0.249999999999996
1995-03-01,0.304768716100829,0.304768716100829,1.30476871610083,1.30476871610083,1.60953743220166,0.304768716100829,-7.105427357601e-15
1995-04-01,-1.30476871610083,-1.30476871610083,-1.30476871610083,-1.30476871610083,-1.60953743220166,-0.304768716100829,3.5527136788005e-15
1995-05-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
1995-06-01,-4.44089209850063e-16,-4.44089209850063e-16,-4.44089209850063e-16,1,-4.44089209850063e-16,-1,1.06581410364015e-14
1995-07-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
1995-08-01,0,1,1,1,0,0,-7.105427357601e-15
1995-09-01,0,0,0,0,1,1,3.5527136788005e-15
1995-10-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
1995-11-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-1,7.105427357601e-15
1995-12-01,-1,-1,-4.44089209850063e-16,-4.44089209850063e-16,1,1,1.4210854715202e-14
1996-01-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
1996-02-01,0,0,0,1,0,0,0.750000000000004
1996-03-01,-0.695231283899171,-0.695231283899171,-0.695231283899171,-0.695231283899171,0.609537432201659,0.304768716100829,-7.105427357601e-15
1996-04-01,0.695231283899171,0.695231283899171,-0.304768716100829,-0.304768716100829,-0.609537432201659,-0.304768716100829,3.5527136788005e-15
1996-05-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,7.105427357601e-15
1996-06-01,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1.06581410364015e-14
1996-07-01,1,1,1,0,0,0,-7.105427357601e-15
1996-08-01,0,0,0,1,1,1,-7.105427357601e-15
1996-09-01,0,-1,-1,-1,-1,-1,3.5527136788005e-15
1996-10-01,0,1,1,1,0,0,-7.105427357601e-15
1996-11-01,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
1996-12-01,-4.44089209850063e-16,-1,-2,-2,-1,-1,1.4210854715202e-14
1997-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,7.105427357601e-15
1997-02-01,0,0,0,0,0,0,-0.249999999999996
1997-03-01,-2.28887299576473,-2.49205213983195,-2.49205213983195,-2.49205213983195,-3.18728342373112,-1.49205213983195,-7.105427357601e-15
1997-04-01,2.28887299576473,2.49205213983195,2.49205213983195,1.49205213983195,2.18728342373112,1.49205213983195,3.5527136788005e-15
1997-05-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
1997-06-01,-1,-2,-1,-1,-1,-1,1.06581410364015e-14
1997-07-01,0,1,1,1,0,0,-7.105427357601e-15
1997-08-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
1997-09-01,1,1,0,0,0,0,3.5527136788005e-15
1997-10-01,0,0,1,1,1,0,-7.105427357601e-15
1997-11-01,-1,-2,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
1997-12-01,1,1,-4.44089209850063e-16,-1,-1,-4.44089209850063e-16,1.4210854715202e-14
1998-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
1998-02-01,0,0,0,0,0,0,-0.249999999999996
1998-03-01,0.711127004235269,0.507947860168049,-0.492052139831951,-0.492052139831951,-0.187283423731122,-0.492052139831951,-7.105427357601e-15
1998-04-01,-0.711127004235269,-0.507947860168049,0.492052139831951,0.492052139831951,-0.812716576268879,-0.507947860168049,3.5527136788005e-15
1998-05-01,-1,-1,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
1998-06-01,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
1998-07-01,0,0,1,1,1,0,-7.105427357601e-15
1998-08-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
1998-09-01,0,1,1,0,0,0,3.5527136788005e-15
1998-10-01,0,0,0,1,1,1,-7.105427357601e-15
1998-11-01,-2.22044604925031e-16,-1,-2,-1,-1,-1,7.105427357601e-15
1998-12-01,-4.44089209850063e-16,1,1,-4.44089209850063e-16,-1,-1,1.4210854715202e-14
1999-01-01,-1,-1,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
1999-02-01,0,0,0,0,0,0,-0.249999999999996
1999-03-01,1.71112700423527,1.50794786016805,1.50794786016805,0.507947860168049,0.812716576268878,0.507947860168049,-7.105427357601e-15
1999-04-01,-0.711127004235269,-0.507947860168049,-0.507947860168049,0.492052139831951,0.187283423731121,-0.507947860168049,3.5527136788005e-15
1999-05-01,-2.22044604925031e-16,-1,-1,-1,-1,-1,7.105427357601e-15
1999-06-01,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
1999-07-01,0,0,0,1,1,1,-7.105427357601e-15
1999-08-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
1999-09-01,0,0,1,1,0,0,3.5527136788005e-15
1999-10-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
1999-11-01,1,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
1999-12-01,1,1,2,2,1,-4.44089209850063e-16,1.4210854715202e-14
2000-01-01,-2.22044604925031e-16,-1,-1,-1,-1,-1,7.105427357601e-15
2000-02-01,0,1,0,0,0,0,0.750000000000004
2000-03-01,0.711127004235269,0.507947860168049,1.50794786016805,1.50794786016805,1.81271657626888,0.507947860168049,-7.105427357601e-15
2000-04-01,-1.71112700423527,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-0.507947860168049,3.5527136788005e-15
2000-05-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2000-06-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,1.06581410364015e-14
2000-07-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2000-08-01,0,1,1,1,0,0,-7.105427357601e-15
2000-09-01,0,0,0,0,1,1,3.5527136788005e-15
2000-10-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2000-11-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-1,7.105427357601e-15
2000-12-01,-1,-1,-4.44089209850063e-16,-4.44089209850063e-16,1,1,1.4210854715202e-14
2001-01-01,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2001-02-01,0,0,0,0,0,0,-0.249999999999996
2001-03-01,0.711127004235269,0.507947860168049,0.507947860168049,1.50794786016805,1.81271657626888,1.50794786016805,-7.105427357601e-15
2001-04-01,-0.711127004235269,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-1.50794786016805,3.5527136788005e-15
2001-05-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2001-06-01,1,1,1,1,2,1,1.06581410364015e-14
2001-07-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
