date,WorkingDays,LeapYear
1995-01-01,2,7.105427357601e-15
1995-02-01,0,-0.249999999999996
1995-03-01,4.0666905063529,-7.105427357601e-15
1995-04-01,-6.0666905063529,3.5527136788005e-15
1995-05-01,2,7.105427357601e-15
1995-06-01,3.5,1.06581410364015e-14
1995-07-01,-4,-7.105427357601e-15
1995-08-01,3,-7.105427357601e-15
1995-09-01,-1.5,3.5527136788005e-15
1995-10-01,-0.5,-7.105427357601e-15
1995-11-01,4.5,7.105427357601e-15
1995-12-01,-3.5,1.4210854715202e-14
1996-01-01,2,7.105427357601e-15
1996-02-01,1,0.750000000000004
1996-03-01,-2.9333094936471,-7.105427357601e-15
1996-04-01,0.933309493647096,3.5527136788005e-15
1996-05-01,2,7.105427357601e-15
1996-06-01,-3.5,1.06581410364015e-14
1996-07-01,3,-7.105427357601e-15
1996-08-01,-0.5,-7.105427357601e-15
1996-09-01,-1.5,3.5527136788005e-15
1996-10-01,3,-7.105427357601e-15
1996-11-01,-2.5,7.105427357601e-15
1996-12-01,-3.5,1.4210854715202e-14
1997-01-01,2,7.105427357601e-15
1997-02-01,0,-0.249999999999996
1997-03-01,-9.22218248941182,-7.105427357601e-15
1997-04-01,7.22218248941182,3.5527136788005e-15
1997-05-01,-1.5,7.105427357601e-15
1997-06-01,-3.5,1.06581410364015e-14
1997-07-01,3,-7.105427357601e-15
1997-08-01,-4,-7.105427357601e-15
1997-09-01,2,3.5527136788005e-15
1997-10-01,3,-7.105427357601e-15
1997-11-01,-6,7.105427357601e-15
1997-12-01,-8.88178419700125e-16,1.4210854715202e-14
1998-01-01,-1.5,7.105427357601e-15
1998-02-01,0,-0.249999999999996
1998-03-01,1.27781751058817,-7.105427357601e-15
1998-04-01,0.222182489411825,3.5527136788005e-15
1998-05-01,-5,7.105427357601e-15
1998-06-01,8.88178419700125e-16,1.06581410364015e-14
1998-07-01,3,-7.105427357601e-15
1998-08-01,-4,-7.105427357601e-15
1998-09-01,2,3.5527136788005e-15
1998-10-01,-0.5,-7.105427357601e-15
1998-11-01,-2.5,7.105427357601e-15
1998-12-01,3.5,1.4210854715202e-14
1999-01-01,-5,7.105427357601e-15
1999-02-01,0,-0.249999999999996
1999-03-01,4.77781751058817,-7.105427357601e-15
1999-04-01,0.222182489411825,3.5527136788005e-15
1999-05-01,-1.5,7.105427357601e-15
1999-06-01,8.88178419700125e-16,1.06581410364015e-14
1999-07-01,-0.5,-7.105427357601e-15
1999-08-01,-0.5,-7.105427357601e-15
1999-09-01,2,3.5527136788005e-15
1999-10-01,-4,-7.105427357601e-15
1999-11-01,1,7.105427357601e-15
1999-12-01,7,1.4210854715202e-14
2000-01-01,-1.5,7.105427357601e-15
2000-02-01,1,0.750000000000004
2000-03-01,4.77781751058817,-7.105427357601e-15
2000-04-01,-6.77781751058818,3.5527136788005e-15
2000-05-01,2,7.105427357601e-15
2000-06-01,3.5,1.06581410364015e-14
2000-07-01,-4,-7.105427357601e-15
2000-08-01,3,-7.105427357601e-15
2000-09-01,-1.5,3.5527136788005e-15
2000-10-01,-0.5,-7.105427357601e-15
2000-11-01,4.5,7.105427357601e-15
2000-12-01,-3.5,1.4210854715202e-14
2001-01-01,2,7.105427357601e-15
2001-02-01,0,-0.249999999999996
2001-03-01,1.27781751058817,-7.105427357601e-15
2001-04-01,-3.27781751058818,3.5527136788005e-15
2001-05-01,2,7.105427357601e-15
2001-06-01,3.5,1.06581410364015e-14
2001-07-01,-0.5,-7.105427357601e-15
2001-08-01,3,-7.105427357601e-15
2001-09-01,-5,3.5527136788005e-15
2001-10-01,3,-7.105427357601e-15
2001-11-01,4.5,7.105427357601e-15
2001-12-01,-7,1.4210854715202e-14
2002-01-01,2,7.105427357601e-15
2002-02-01,0,-0.249999999999996
2002-03-01,-5.72218248941183,-7.105427357601e-15
2002-04-01,3.72218248941182,3.5527136788005e-15
2002-05-01,4.5,1.06581410364015e-14
2002-06-01,-3.5,1.06581410364015e-14
2002-07-01,3,-7.105427357601e-15
2002-08-01,-0.5,-7.105427357601e-15
2002-09-01,-1.5,3.5527136788005e-15
2002-10-01,3,-7.105427357601e-15
2002-11-01,-2.5,7.105427357601e-15
2002-12-01,-3.5,1.4210854715202e-14
2003-01-01,2,7.105427357601e-15
2003-02-01,0,-0.249999999999996
2003-03-01,-2.22218248941183,-7.105427357601e-15
2003-04-01,0.222182489411825,3.5527136788005e-15
2003-05-01,1,1.06581410364015e-14
2003-06-01,-3.5,1.06581410364015e-14
2003-07-01,3,-7.105427357601e-15
2003-08-01,-4,-7.105427357601e-15
2003-09-01,2,3.5527136788005e-15
2003-10-01,3,-7.105427357601e-15
2003-11-01,-6,7.105427357601e-15
2003-12-01,-8.88178419700125e-16,1.4210854715202e-14
2004-01-01,-1.5,7.105427357601e-15
2004-02-01,-2.5,0.750000000000004
2004-03-01,4.77781751058817,-7.105427357601e-15
2004-04-01,0.222182489411825,3.5527136788005e-15
2004-05-01,-2.5,1.06581410364015e-14
2004-06-01,8.88178419700125e-16,1.06581410364015e-14
2004-07-01,-0.5,-7.105427357601e-15
2004-08-01,-0.5,-7.105427357601e-15
2004-09-01,2,3.5527136788005e-15
2004-10-01,-4,-7.105427357601e-15
2004-11-01,1,7.105427357601e-15
2004-12-01,7,1.4210854715202e-14
2005-01-01,-1.5,7.105427357601e-15
2005-02-01,0,-0.249999999999996
2005-03-01,-2.22218248941183,-7.105427357601e-15
2005-04-01,3.72218248941182,3.5527136788005e-15
2005-05-01,1,1.06581410364015e-14
2005-06-01,8.88178419700125e-16,1.06581410364015e-14
2005-07-01,-4,-7.105427357601e-15
2005-08-01,3,-7.105427357601e-15
2005-09-01,2,3.5527136788005e-15
2005-10-01,-4,-7.105427357601e-15
2005-11-01,1,7.105427357601e-15
2005-12-01,3.5,1.4210854715202e-14
2006-01-01,2,7.105427357601e-15
2006-02-01,0,-0.249999999999996
2006-03-01,4.77781751058817,-7.105427357601e-15
2006-04-01,-6.77781751058818,3.5527136788005e-15
2006-05-01,1,1.06581410364015e-14
2006-06-01,3.5,1.06581410364015e-14
2006-07-01,-4,-7.105427357601e-15
2006-08-01,3,-7.105427357601e-15
2006-09-01,-1.5,3.5527136788005e-15
2006-10-01,-0.5,-7.105427357601e-15
2006-11-01,4.5,7.105427357601e-15
2006-12-01,-3.5,1.4210854715202e-14
2007-01-01,2,7.105427357601e-15
2007-02-01,0,-0.249999999999996
2007-03-01,1.27781751058817,-7.105427357601e-15
