Year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,q1,q2,q3,q4,y
1995,22,20,23,19,22,21,21,23,21,22,22,19,65,62,65,63,255
1996,22,21,21,21,22,19,23,22,21,23,20,19,64,62,66,62,254
1997,22,20,19,22,21,19,23,21,22,23,19,20,61,62,66,62,251
1998,21,20,22,20,20,20,23,21,22,22,20,21,63,60,66,63,252
1999,20,20,23,20,21,20,22,22,22,21,21,22,63,61,66,64,254
2000,21,21,23,18,22,21,21,23,21,22,22,19,65,61,65,63,254
2001,22,20,22,19,22,21,22,23,20,23,22,18,64,62,65,63,254
2002,22,20,20,21,22,19,23,22,21,23,20,19,62,62,66,62,252
2003,22,20,21,20,21,19,23,21,22,23,19,20,63,60,66,62,251
2004,21,20,23,20,20,20,22,22,22,21,21,22,64,60,66,64,254
2005,21,20,21,21,21,20,21,23,22,21,21,21,62,62,66,63,253
2006,22,20,23,18,21,21,21,23,21,22,22,19,65,60,65,63,253
2007,22,20,22,19,21,21,22,23,20,23,21,17,64,61,65,61,251
2008,22,21,19,22,20,19,23,21,22,23,19,19,62,61,66,61,250
2009,21,20,22,20,19,20,23,21,22,22,20,20,63,59,66,62,250
2010,20,20,23,20,20,20,22,22,22,21,21,21,63,60,66,63,252
2011,21,20,23,19,21,20,21,23,22,21,21,21,64,60,66,63,253
2012,22,21,22,19,21,21,22,23,20,23,21,17,65,61,65,61,252
2013,22,20,20,21,21,19,23,22,21,23,20,18,62,61,66,61,250
2014,22,20,21,20,20,19,23,21,22,23,19,19,63,59,66,61,249
2015,21,20,22,20,19,20,23,21,22,22,20,20,63,59,66,62,250
2016,20,21,21,21,21,20,21,23,22,21,21,21,62,62,66,63,253
2017,22,20,23,18,21,21,21,23,21,22,21,19,65,60,65,62,252
2018,22,20,21,20,21,21,21,23,19,23,21,17,63,62,63,61,249
2019,22,20,21,20,21,19,23,22,21,23,20,18,63,60,66,61,250
2020,22,20,22,20,19,20,23,21,22,22,20,20,64,59,66,62,251
2021,20,20,23,20,20,20,22,22,22,21,21,21,63,60,66,63,252
2022,21,20,23,19,21,20,21,23,22,21,21,21,64,60,66,63,253
