Year;Period;WD
1995;m01;22
1995;m02;20
1995;m03;23
1995;m04;19
1995;m05;22
1995;m06;21
1995;m07;21
1995;m08;23
1995;m09;21
1995;m10;22
1995;m11;22
1995;m12;19
1995;q1;65
1995;q2;62
1995;q3;65
1995;q4;63
1995;y;255
1996;m01;22
1996;m02;21
1996;m03;21
1996;m04;21
1996;m05;22
1996;m06;19
1996;m07;23
1996;m08;22
1996;m09;21
1996;m10;23
1996;m11;20
1996;m12;19
1996;q1;64
1996;q2;62
1996;q3;66
1996;q4;62
1996;y;254
1997;m01;22
1997;m02;20
1997;m03;19
1997;m04;22
1997;m05;21
1997;m06;19
1997;m07;23
1997;m08;21
1997;m09;22
1997;m10;23
1997;m11;19
1997;m12;20
1997;q1;61
1997;q2;62
1997;q3;66
1997;q4;62
1997;y;251
1998;m01;21
1998;m02;20
1998;m03;22
1998;m04;20
1998;m05;20
1998;m06;20
1998;m07;23
1998;m08;21
1998;m09;22
1998;m10;22
1998;m11;20
1998;m12;21
1998;q1;63
1998;q2;60
1998;q3;66
1998;q4;63
1998;y;252
1999;m01;20
1999;m02;20
1999;m03;23
1999;m04;20
1999;m05;21
1999;m06;20
1999;m07;22
1999;m08;22
1999;m09;22
1999;m10;21
1999;m11;21
1999;m12;22
1999;q1;63
1999;q2;61
1999;q3;66
1999;q4;64
1999;y;254
2000;m01;21
2000;m02;21
2000;m03;23
2000;m04;18
2000;m05;22
2000;m06;21
2000;m07;21
2000;m08;23
2000;m09;21
2000;m10;22
2000;m11;22
2000;m12;19
2000;q1;65
2000;q2;61
2000;q3;65
2000;q4;63
2000;y;254
2001;m01;22
2001;m02;20
2001;m03;22
2001;m04;19
2001;m05;22
2001;m06;21
2001;m07;22
2001;m08;23
2001;m09;20
2001;m10;23
2001;m11;22
2001;m12;18
2001;q1;64
2001;q2;62
2001;q3;65
2001;q4;63
2001;y;254
2002;m01;22
2002;m02;20
2002;m03;20
2002;m04;21
2002;m05;22
2002;m06;19
2002;m07;23
2002;m08;22
2002;m09;21
2002;m10;23
2002;m11;20
2002;m12;19
2002;q1;62
2002;q2;62
2002;q3;66
2002;q4;62
2002;y;252
2003;m01;22
2003;m02;20
2003;m03;21
2003;m04;20
2003;m05;21
2003;m06;19
2003;m07;23
2003;m08;21
2003;m09;22
2003;m10;23
2003;m11;19
2003;m12;20
2003;q1;63
2003;q2;60
2003;q3;66
2003;q4;62
2003;y;251
2004;m01;21
2004;m02;20
2004;m03;23
2004;m04;20
2004;m05;20
2004;m06;20
2004;m07;22
2004;m08;22
2004;m09;22
2004;m10;21
2004;m11;21
2004;m12;22
2004;q1;64
2004;q2;60
2004;q3;66
2004;q4;64
2004;y;254
2005;m01;21
2005;m02;20
2005;m03;21
2005;m04;21
2005;m05;21
2005;m06;20
2005;m07;21
2005;m08;23
2005;m09;22
2005;m10;21
2005;m11;21
2005;m12;21
2005;q1;62
2005;q2;62
2005;q3;66
